AÑO,MUNICIPIO,TIPO,ACCIÓN,CONTRATO,EMPRESA,MONTO CONTRATADO,AVANCE FÍSICO,AVANCE FINANCIERO,MODALIDAD
2018,SAN LUIS DE LA PAZ,OBRA,CONSERVACIÓN PERIÓDICA DEL CAMINO E.C. SAN LUIS DE LA PAZ,SOP/RE/LS/PU/GCE/OB/OP/2018-0113,"CONSTRUCTORA GONZALEZ MANZANO, S.A. DE C.V.","$216,206.97 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN LUIS DE LA PAZ,OBRA,CONSERVACIÓN PERIÓDICA DEL CAMINO E.C. 57 - SANTA ANA,SOP/RE/LS/PU/GCE/OB/OP/2018-0113,"CONSTRUCTORA GONZALEZ MANZANO, S.A. DE C.V.","$219,022.18 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,VICTORIA,OBRA,CARRETERA VICTORIA - TIERRA BLANCA,SOP/RE/LS/PU/GCE/OB/OP/2018-0108,"GRUPO CONSTRUCTOR AVISA, S.A. DE C.V.","$8,092,907.66 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN LUIS DE LA PAZ,OBRA,CONSERVACIÓN PERIÓDICA DEL CAMINO ACCESO A LA ESCOBILLA,SOP/RE/LS/PU/GCE/OB/OP/2018-0113,"CONSTRUCTORA GONZALEZ MANZANO, S.A. DE C.V.","$1,323,484.19 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,JERÉCUARO,OBRA,LIBRAMIENTO NORPONIENTE DE JERÉCUARO,SOP/RE/AM/PU/GCE/OB/OP/2018-0103,"CONSTRUCTORA LORESA, S.A. DE C.V.","$1,456,555.65 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,VARIOS MUNICIPIOS,OBRA,CARRETERA LEÓN - SAN FELIPE,SOP/RE/LS/PU/GCE/OB/OP/2018-0107,"CONSORCIO INGENIEROS DE GUANAJUATO, S.A. DE C.V.","$7,249,819.23 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,VARIOS MUNICIPIOS,OBRA,CARRETERA LEÓN - SANTA ROSA - CD. MANUEL DOBLADO,SOP/RE/LS/PU/GCE/OB/OP/2018-0110,"ARCOMI, S.A. DE C.V.","$4,922,055.10 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,VARIOS MUNICIPIOS,OBRA,CARRETERA PURÍSIMA DE RINCÓN - CD. MANUEL DOBLADO,SOP/RE/LS/PU/GCE/OB/OP/2018-0112,ORTIZ MAGAÑA JUAN FAUSTINO,"$5,866,831.86 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,JARAL DEL PROGRESO,OBRA,LIBRAMIENTO DE JARAL DEL PROGRESO,SOP/RE/AM/PU/GCE/OB/OP/2018-0104,GARCIA RIOS JORGE,"$1,698,187.37 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,XICHÚ,OBRA,"TALUDES DE LA CARRETERA CAÑADA DE MORENO XICHÚ, OCTAVA ETAPA",SOP/RE/LS/PU/GCE/OB/OP/2018-0109,"CONSTRUCCIONES MOZADO, S.A. DE C.V.","$2,687,279.68 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,ATARJEA,OBRA,ESTABILIZACIÓN DE TALUDES DE LA CARRETERA SANTA CATARINA.,SOP/RE/LS/PU/GCE/OB/OP/2018-0111,"DESARROLLOS DE INGENIERIA SUBTERRANEA, CONSTRUCCIONES Y ESTABILIZACIONES LOSANTO","$2,882,771.97 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,TODO EL ESTADO,ESTUDIO,DETERMINACIÓN DEL ÍNDICE INTERNACIONAL DE RUGOSIDAD,SOP/RE/AM/PU/GCE/SERV/OP/2018-0105,"SERVICIOS DE CONSULTORIA EN INFRAESTRUCTURA VIAL, S.A. DE C.V.","$599,306.81 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,VALLE DE SANTIAGO,OBRA,REHABILITACIÓN DEL CAMINO DE ACCESO A PUERTA DE ANDARACUA,SOP/RE/AM/PU/GCE/OB/OP/2018-0106,"INGENIERIA, PROYECTOS Y DESARROLLOS DE GUANAJUATO, S. DE .R.L. DE C.V.","$1,499,851.62 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,LEÓN,OBRA,REHABILITACIÓN DE PISTA DE TROTE Y CICLOVÍA,SOP/RE/LS/PU/DGC/OB/CODE/2018-0116,"CONSTRUCTORA Y ARRENDADORA HER BEC, S.A. DE C.V.","$6,327,042.79 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,MANUEL DOBLADO,OBRA,PAVIMENTACIÓN DEL CAMINO ZAPOTE DE ADJUNTAS -  EL CARRIZO,SOP/RE/LS/PU/GCE/OB/OP/2018-0114,"TERRACERIAS Y PAVIMENTOS ASFALTICOS, S.A. DE C.V.","$4,935,337.03 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,ACÁMBARO,PROYECTO INTEGRAL,SUSTITUCIÓN UMAPS IRAMUCO,SOP/RE/LS/PU/DGC/OB/ISAPEG/2018-0117,"CONSTRUCTORA CONICE, S.A. DE C.V.","$10,843,453.06 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,IRAPUATO,OBRA,CUARTO CINTURÓN VIAL DE IRAPUATO,SOP/RE/LP/PU/GCE/OB/OP/2018-0118,"CONSORCIO INGENIEROS DE GUANAJUATO, S.A. DE C.V.","$2,570,030.19 ",100.00 %,100.00 %,LICITACION PUBLICA
2018,SAN MIGUEL DE ALLENDE,OBRA,CARRETERA GUANAJUATO - SAN MIGUEL ALLENDE,SOP/RE/LP/PU/GCE/OB/OP/2018-0115,"TERRACERIAS Y PAVIMENTOS ASFALTICOS, S.A. DE C.V.","$13,682,006.56 ",100.00 %,100.00 %,LICITACION PUBLICA
2018,SALVATIERRA,OBRA,SAN NICOLÁS - E.C. (SALVATIERRA - YURIRIA),SOP/RE/AM/PU/GCE/OB/OP/2018-0119,MALDONADO RODRIGUEZ IGNACIO,"$774,805.73 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,VARIOS MUNICIPIOS,OBRA,CARRETERA SILAO - SAN FELIPE,SOP/RE/LP/PU/GCE/OB/OP/2018-0122,"EDIFICADORA ALBA, S.A. DE C.V.","$12,724,518.30 ",100.00 %,100.00 %,LICITACION PUBLICA
2018,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA,OBRA,CARRETERA LIBRAMIENTO SURESTE DE DOLORES HIDALG,SOP/RE/LP/PU/GCE/OB/OP/2018-0123,"VISE, S.A. DE C.V.","$21,573,126.18 ",100.00 %,100.00 %,LICITACION PUBLICA
2018,SAN LUIS DE LA PAZ,OBRA,MANTENIMIENTO DEL CAMINO VERGEL DE BERNALEJO,SOP/RE/LS/PU/GCE/OB/OP/2018-0120,CRUZ PALACIOS LUIS MANUEL,"$1,662,638.92 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN LUIS DE LA PAZ,OBRA,MANTENIMIENTO DE CAMINOS ZONA CHUPADERO,SOP/RE/LS/PU/GCE/OB/OP/2018-0120,CRUZ PALACIOS LUIS MANUEL,"$1,672,262.99 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN LUIS DE LA PAZ,OBRA,MANTENIMIENTO DE CAMINO SAN ANTÓN DE LOS MARTÍNEZ - MESAS DE,SOP/RE/LS/PU/GCE/OB/OP/2018-0120,CRUZ PALACIOS LUIS MANUEL,"$1,524,782.90 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,GUANAJUATO,OBRA,PAVIMENTACIÓN CAMINO AL CÁRCAMO E.C. (CARRETERA GUANAJUATO),SOP/RE/LS/PU/GCE/OB/OP/2018-0121,"PROYECTOS CIVILES Y ELECTRICOS, S.A. DE C.V.","$5,564,899.73 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN LUIS DE LA PAZ,OBRA,CALLE LUIS CALDERÓN EN CABECERA MUNICIPAL SAN LUIS DE LA PAZ,SOP/RE/AM/PU/GCE/OB/SEDESHU/2018-0124,"KORE CAMINOS DEL NORESTE, S.A. DE C.V.","$1,050,663.75 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,PURÍSIMA DEL RINCÓN,PROYECTO INTEGRAL,IPP PLANTEL IECA PURÍSIMA DEL RINCÓN,SOP/RE/LP/PU/DGC/OB/IECA/2018-0125,"CONSTRUCTORA Y EDIFICADORA GUANAJUATENSE, S.A. DE C.V.","$10,807,782.11 ",100.00 %,100.00 %,LICITACION PUBLICA
2018,TODO EL ESTADO,ESTUDIO,EVALUACIÓN NO DESTRUCTIVA DE PAVIMENTOS (2018).,SOP/RE/AM/PU/GCE/SERV/OP/2018-0128,"GRUPO CONSTRUCTOR ALEAMA, S.A. DE C.V.","$649,472.02 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,TODO EL ESTADO,ESTUDIO,DETERMINACIÓN DEL COEFICIENTE DE FRICCIÓN DE LA RED.,SOP/RE/AM/PU/GCE/SERV/OP/2018-0126,"GRUPO CONSTRUCTOR ALEAMA, S.A. DE C.V.","$849,088.59 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,SILAO,OBRA,ACCESO A GPI,SOP/RE/AM/PU/GCE/OB/OP/2018-0127,"RIEGOS ASFALTICOS, S.A. DE C.V.","$362,257.59 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,SAN FELIPE,PROYECTO INTEGRAL,PROYECTO INTEGRAL REMODELACIÓN  DEL HOSPITAL COMUNITARIO,SOP/RE/AE/PU/DGC/OB/ISAPEG/2018-0129,RODRIGUEZ LARA ALEJANDRO,"$41,641,464.70 ",100.00 %,100.00 %,ADJUDICACION DIRECTA POR EXCEPCION
2018,VARIOS MUNICIPIOS,OBRA,BULEVAR CONCORDIA,SOP/RE/AM/PU/GCE/OB/OP/2018-0133,"MAQUINARIA INMOBILIARIA CAMINOS Y ACARREOS, S.A. DE C.V.","$619,501.94 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,APASEO EL ALTO,OBRA,REHABILITACIÓN CAMINO LA PRESITA - SAN PEDRO TENANGO 3ERA,SOP/RE/AM/PU/GCE/OB/OP/2018-0131,ZANATTA ZAGO ALVARO JOSE,"$649,673.85 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,SAN JOSÉ ITURBIDE,PROYECTO INTEGRAL,SUSTITUCIÓN DE CAISES,SOP/RE/LP/PU/DGC/OB/ISAPEG/2018-0136,"ARCOMI, S.A. DE C.V.","$37,000,862.75 ",100.00 %,100.00 %,LICITACION PUBLICA
2018,IRAPUATO,OBRA,REVESTIMIENTO DEL CAMINO HACIENDA DE MARQUEZ - LO DE JUÁREZ,SOP/RE/AM/PU/GCE/OB/OP/2018-0132,"FIGUEROA INGENIERIA Y CONSTRUCCIONES, S.A. DE C.V.","$1,094,878.51 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,SAN JOSÉ ITURBIDE,OBRA,RAMAL A SAN JOSÉ ITURBIDE,SOP/RE/AM/PU/GCE/OB/OP/2018-0134,"TERRACERIAS Y PAVIMENTOS ASFALTICOS, S.A. DE C.V.","$648,035.51 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,PURÍSIMA DEL RINCÓN,ESTUDIO,ANÁLISIS COSTO BENEFICIO SIMPLIFICADO PARA EL AUDITORIO,SOP/RE/AM/PU/PP/SERV/IEC/2018-0135,TELLEZ AGUILAR NOEMI RUTH,"$164,813.48 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,GUANAJUATO,ESTUDIO,MANIFESTACIÓN DE IMPACTO AMBIENTAL COMUNIDAD EL MALUCO.,SOP/RE/AM/PU/PST/SERV/OP/2018-0130,PARRA SANCHEZ MARIANA,"$164,057.51 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,CORTAZAR,PROYECTO INTEGRAL,SUSTITUCIÓN UMAPS CAÑADA DE CARACHEO,SOP/RE/LS/PU/DGC/OB/ISAPEG/2018-0137,TORRES MORENO IVONE,"$9,791,940.00 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,VICTORIA,OBRA,TERMINACIÓN DEL CESSA,SOP/RE/LP/PU/DGC/OB/ISAPEG/2018-0138,"GRUPO CONSTRUCTOR JAPAGUE, S.A. DE C.V.","$25,531,323.02 ",100.00 %,98.67 %,LICITACION PUBLICA
2018,IRAPUATO,OBRA,TERMINACIÓN DE LA CONSTRUCCIÓN BANCO LECHE HUMANA Y CRAISAR,SOP/RE/LS/PU/DGC/OB/ISAPEG/2018-0139,"CONSTRUCCIONES BEOC, S.A DE C.V.","$8,612,008.93 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,CELAYA,OBRA,REHABILITACIÓN DEL CAMINO A SAN JOSÉ DE GUANAJUATO,SOP/RE/LP/PU/GCE/OB/OP/2018-0140,"TERRACERIAS Y PAVIMENTOS ASFALTICOS, S.A. DE C.V.","$27,328,526.91 ",100.00 %,100.00 %,LICITACION PUBLICA
2018,SAN FRANCISCO DEL RINCÓN,PROYECTO,PROYECTO EJECUTIVO DE LA ESTRUCTURA EN EL KM. 4+190,SOP/RE/AM/PU/PST/SERV/OP/2018-0142,COLLAZO HERNANDEZ LUIS FELIPE,"$479,589.24 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,SAN FRANCISCO DEL RINCÓN,PROYECTO,PROYECTO EJECUTIVO DE LA ESTRUCTURA EN EL KM. 2+910,SOP/RE/AM/PU/PST/SERV/OP/2018-0143,GUTIERREZ MARQUEZ FRANCISCO JAVIER,"$363,952.33 ",TERMINACION ANTICIPADA,100.00 %,ADJUDICACION DIRECTA
2018,TODO EL ESTADO,ESTUDIO,LEVANTAMIENTO DE DAÑOS Y DETERIOROS,SOP/RE/AM/PU/GCE/SERV/OP/2018-0141,"GESTION DE INGENIERIA Y PROYECTOS VIALES, S.C.","$749,956.15 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,VARIOS MUNICIPIOS,OBRA,CAÑADA DE MORENO - XICHÚ,SOP/RE/LP/PU/GCE/OB/OP/2018-0145,"VISE, S.A. DE C.V.","$19,272,970.68 ",100.00 %,100.00 %,LICITACION PUBLICA
2018,VARIOS MUNICIPIOS,OBRA,LEÓN - SAN FELIPE,SOP/RE/LP/PU/GCE/OB/OP/2018-0144,"TERRACERIAS Y PAVIMENTOS ASFALTICOS, S.A. DE C.V.","$11,583,801.47 ",100.00 %,100.00 %,LICITACION PUBLICA
2018,PURÍSIMA DEL RINCÓN,PROYECTO,MANIFESTACIÓN MPACTO AMBIENTAL FEDERAL DEL EJE METROPOLITANO,SOP/RE/AM/PU/PST/SERV/OP/2018-0146,MORALES RODRIGUEZ JUAN MANUEL,"$134,848.53 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,SAN FRANCISCO DEL RINCÓN,ESTUDIO,MANIFESTACIÓN AMBIENTAL FEDERAL DEL LIBRAMIENTO SUR SANFCO,SOP/RE/AM/PU/PST/SERV/OP/2018-0153,"GRUPO AMBIENTAL CONSTRUCTIVO, S.A. DE C.V.","$151,862.07 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,VARIOS MUNICIPIOS,OBRA,LEÓN - LA MURALLA,SOP/RE/LS/PU/GCE/OB/OP/2018-0147,BARAJAS ESPINOSA SERGIO ENRIQUE,"$10,941,597.76 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,VARIOS MUNICIPIOS,OBRA,PURÍSIMA DE RINCÓN - CD. MANUEL DOBLADO,SOP/RE/LS/PU/GCE/OB/OP/2018-0150,"INSTALACIONES Y SERVICIOS INDUSTRIALES ALLMAR, S.A. DE C.V.","$6,009,435.80 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,MANUEL DOBLADO,OBRA,CD. MANUEL DOBLADO - PUERTA DE SAN JUAN,SOP/RE/LS/PU/GCE/OB/OP/2018-0151,"INSTALACIONES Y SERVICIOS INDUSTRIALES ALLMAR, S.A. DE C.V.","$3,109,522.80 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,ACÁMBARO,OBRA,ACÁMBARO  -TARANDACUAO,SOP/RE/LS/PU/GCE/OB/OP/2018-0149,"CABBAR CONSTRUCCIONES, S.A. DE C.V.","$5,023,291.68 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,VARIOS MUNICIPIOS,OBRA,TARIMORO - PARÁCUARO,SOP/RE/LS/PU/GCE/OB/OP/2018-0148,"CABBAR CONSTRUCCIONES, S.A. DE C.V.","$3,774,743.17 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN FRANCISCO DEL RINCÓN,PROYECTO,PROYECTO EJECUTIVO DE LA ESTRUCTURA EN EL KM. 5+700,SOP/RE/AM/PU/PST/SERV/OP/2018-0152,"CONSTRUCTORA MADACO, S. DE R.L. DE C.V.","$639,004.01 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,SALVATIERRA,OBRA,SAN NICOLÁS - E.C. LA LOMA - VICTORIA DE CORTAZAR,SOP/RE/LS/PU/GCE/OB/OP/2018-0160,GARCIA RIOS JORGE,"$3,449,889.76 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,TARIMORO,OBRA,CARRETERA TARIMORO - APASEO EL ALTO,SOP/RE/LS/PU/GCE/OB/OP/2018-0159,"CONSTRUCTORA LORESA, S.A. DE C.V.","$6,400,518.61 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,CELAYA,OBRA,ACCESO ORIENTE DE CELAYA,SOP/RE/LS/PU/GCE/OB/OP/2018-0154,"CORZZISA, S.A. DE C.V.","$8,141,502.88 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SALAMANCA,OBRA,SALAMANCA - LA ORDEÑA,SOP/RE/LS/PU/GCE/OB/OP/2018-0157,"FIGUEROA INGENIERIA Y CONSTRUCCIONES, S.A. DE C.V.","$3,562,143.46 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,APASEO EL ALTO,OBRA,LIBRAMIENTO ORIENTE DE APASEO EL ALTO,SOP/RE/LS/PU/GCE/OB/OP/2018-0158,"CONSTRUCTORA LORESA, S.A. DE C.V.","$1,984,429.21 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,HUANÍMARO,OBRA,HUANÍMARO - E.C. (IRAPUATO - LA PIEDAD),SOP/RE/LS/PU/GCE/OB/OP/2018-0155,"CONSTRUCCIONES GOMEZ LOZANO, S.A. DE C.V.","$9,995,489.50 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,VARIOS MUNICIPIOS,OBRA,JARAL DEL PROGRESO - VALLE DE SANTIAGO,SOP/RE/LS/PU/GCE/OB/OP/2018-0156,GRANADOS GUTIERREZ JOSE DANIEL,"$3,286,765.82 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,LEÓN,ESTUDIO,EJECUCIÓN DEL PROGRAMA AMBIENTAL DERIVADO DE LA AUTORIZACIÓN,SOP/RE/AM/PU/PST/SERV/OP/2018-0161,"INGENIERIA TECNOLOGIA Y PROYECTOS AMBIENTALES DEL BAJIO, S.C.","$259,940.72 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,TODO EL ESTADO,ESTUDIO,"LEVANTAMIENTO GEOGRÁFICO, GENERACIÓN DE GEODATABASE",SOP/RE/AM/PU/GCE/SERV/OP/2018-0163,AVILES AGUILAR RICARDO JOEL,"$397,036.70 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,GUANAJUATO,PROYECTO,PROYECTO EJECUTIVO BODEGA Y ÁREAS ANEXAS EX HDA SAN GABRIEL,SOP/RE/AM/PU/GPC/SERV/DIF/2018-0162,"CONSTRUCTORA REPREMICH, S.A. DE C.V.","$904,217.19 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,SILAO,OBRA,PAVIMENTACIÓN DE LA CALLE LATERAL SUR COLONIAS NUEVO MÉXICO,SOP/RE/LS/PU/GCE/OB/SEDESHU/2018-0171,"CONSTRUCCIONES DIAMANTE AZUL, S.A. DE C.V.","$4,852,871.82 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN FRANCISCO DEL RINCÓN,OBRA,REHABILITACIÓN DEL CAMINO A LAS COMUNIDADES CALIFORNIA,SOP/RE/LS/PU/GCE/OB/OP/2018-0172,"ENLACE CONSTRUCTIVO, S.A. DE C.V.","$8,880,531.50 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SALAMANCA,OBRA,LA ORDEÑA - E.C. (GUANAJUATO - JUVENTINO ROSAS),SOP/RE/LS/PU/GCE/OB/OP/2018-0164,CERVANTES PEREZ FELIPE,"$3,384,234.61 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,IRAPUATO,OBRA,IRAPUATO - PUEBLO NUEVO,SOP/RE/LS/PU/GCE/OB/OP/2018-0168,DIAZ GARMENDIA JUAN CARLOS,"$4,176,073.09 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,YURIRIA,OBRA,RAMAL A CERANO,SOP/RE/LS/PU/GCE/OB/OP/2018-0166,GARCIA RIOS JORGE,"$5,620,195.16 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,VARIOS MUNICIPIOS,OBRA,CORTAZAR - JARAL DEL PROGRESO,SOP/RE/LS/PU/GCE/OB/OP/2018-0165,CERVANTES PEREZ FELIPE,"$3,856,098.76 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,VARIOS MUNICIPIOS,OBRA,ACÁMBARO - PARÁCUARO,SOP/RE/LS/PU/GCE/OB/OP/2018-0167,LOPEZ CHAVEZ JUANA,"$2,372,572.91 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,VARIOS MUNICIPIOS,OBRA,SAN LUIS DE LA PAZ - SAN JOSE ITURBIDE,SOP/RE/LS/PU/GCE/OB/OP/2018-0169,"CONSTRUCTORA DHEG, S.A. DE C.V.","$9,866,130.75 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN DIEGO DE LA UNIÓN,OBRA,SAN DIEGO DE LA UNION - CARRETERA FEDERAL 57,SOP/RE/LS/PU/GCE/OB/OP/2018-0170,"CONSTRUCTORA GONZALEZ MANZANO, S.A. DE C.V.","$5,947,615.24 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,CELAYA,OBRA,ACCESO NORTE A CELAYA,SOP/RE/LP/PU/GCE/OB/OP/2018-0173,"VISE, S.A. DE C.V.","$18,674,411.42 ",100.00 %,100.00 %,LICITACION PUBLICA
2018,VARIOS MUNICIPIOS,OBRA,COORDINACIÓN LEÓN,SOP/RE/LS/PU/GCE/OB/OP/2018-0174,"CONSTRUCTORA Y ARRENDADORA HER BEC, S.A. DE C.V.","$6,795,992.91 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,VARIOS MUNICIPIOS,OBRA,COORDINACIÓN CELAYA,SOP/RE/LS/PU/GCE/OB/OP/2018-0175,CERVANTES PEREZ FELIPE,"$10,306,032.71 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,TODO EL ESTADO,ESTUDIO,DIGITALIZACIÓN DE INFRAESTRUCTURA VIAL MEDIANTE LA GEORR,SOP/RE/AM/PU/GCE/SERV/OP/2018-0176,"GEOINGENIERIA Y SERVICIOS APLICADOS A LA INFRAESTRUCTURA DEL TRANSPORTE, S.A. DE","$691,913.99 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,CELAYA,SUPERVISION,SUPERVISIÓN EXTERNA CENTRO DE USOS MÚLTIPLES EN EL ECOFÓRUM,SOP/RE/AM/PU/DGC/SERV/OP/2018-0177,"GRUPO INTEGRAL DE CELAYA, S.A. DE C.V.","$673,240.25 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2018,TIERRA BLANCA,OBRA,PAVIMENTACIÓN DE CAMINO ARROYO SECO - CIENEGUILLA,SOP/RE/AM/PU/GCE/OB/OP/2018-0178,PEGUEROS VARGAS ARTURO,"$1,657,729.46 ",95.77 %,100.00 %,ADJUDICACION DIRECTA
2018,IRAPUATO,OBRA,CUARTO CINTURÓN VIAL DE IRAPUATO,SOP/RE/LS/PU/GCE/OB/OP/2018-0179,"CONSTRUCCIONES GOMEZ LOZANO, S.A. DE C.V.","$4,838,002.89 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,IRAPUATO,OBRA,CUARTO CINTURÓN VIAL DE IRAPUATO,SOP/RE/LS/PU/GCE/OB/OP/2018-0180,"SESEYCO, S.A. DE C.V.","$4,566,266.48 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,VARIOS MUNICIPIOS,OBRA,COORDINACIÓN DOLORES HIDALGO,SOP/RE/LS/PU/GCE/OB/OP/2018-0182,"GRUPO CONSTRUCTOR AVISA, S.A. DE C.V.","$9,706,469.32 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,VARIOS MUNICIPIOS,OBRA,COORDINACIÓN GUANAJUATO,SOP/RE/LS/PU/GCE/OB/OP/2018-0181,"ACARREOS TERRACERIAS Y EDIFICACION, S.A. DE C.V.","$8,551,235.55 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN LUIS DE LA PAZ,OBRA,CONSERVACIÓN PERIÓDICA DEL CAMINO TOREADOR DE EN MEDIO,SOP/RE/LS/PU/GCE/OB/OP/2018-0188,"CONSTRUCTORA DHEG, S.A. DE C.V.","$176,850.47 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN LUIS DE LA PAZ,OBRA,CONSERVACIÓN PERIÓDICA DEL CAMINO SAN IGNACIO - SAN NICOLÁS,SOP/RE/LS/PU/GCE/OB/OP/2018-0188,"CONSTRUCTORA DHEG, S.A. DE C.V.","$737,089.94 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN LUIS DE LA PAZ,OBRA,CONSERVACIÓN PERIÓDICA DEL CAMINO SOLEDAD DEL CHIVATO,SOP/RE/LS/PU/GCE/OB/OP/2018-0186,CARRILLO RIVAS RAFAEL,"$5,302,169.30 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN LUIS DE LA PAZ,OBRA,CONSERVACIÓN PERIÓDICA DEL CAMINO LA ESCONDIDITA - E.C.,SOP/RE/LS/PU/GCE/OB/OP/2018-0188,"CONSTRUCTORA DHEG, S.A. DE C.V.","$540,485.15 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN LUIS DE LA PAZ,OBRA,CONSERVACIÓN PERIÓDICA DEL CAMINO ESTACIÓN DEL POZO BLANCO,SOP/RE/LS/PU/GCE/OB/OP/2018-0188,"CONSTRUCTORA DHEG, S.A. DE C.V.","$573,393.85 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN LUIS DE LA PAZ,OBRA,CONSERVACIÓN PERIÓDICA DEL CAMINO NUEVO PASO DE VAQUEROS,SOP/RE/LS/PU/GCE/OB/OP/2018-0188,"CONSTRUCTORA DHEG, S.A. DE C.V.","$1,465,651.14 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2018,SAN LUIS DE LA PAZ,OBRA,CONSERVACIÓN PERIÓDICA DEL CAMINO ORTEGA - E.C. CARRETERA,SOP/RE/LS/PU/GCE/OB/OP/2018-0188,"CONSTRUCTORA DHEG, S.A. DE C.V.","$877,017.47 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
